region, 2015
Albany,2.96
Atlanta,2.66
BaltimoreWashington,2.64
Boise,2.65
Boston,2.84
BuffaloRochester,2.97
California,2.53
Charlotte,3.03
Chicago,2.7
CincinnatiDayton,2.32
Columbus,2.45
DallasFtWorth,2.08
Denver,2.29
Detroit,2.58
GrandRapids,2.73
GreatLakes,2.55
HarrisburgScranton,2.83
HartfordSpringfield,3.37
Houston,2.02
Indianapolis,2.59
Jacksonville,2.89
LasVegas,2.64
LosAngeles,2.22
Louisville,2.49
MiamiFtLauderdale,2.66
Midsouth,2.6
Nashville,2.46
NewOrleansMobile,2.44
NewYork,3.17
Northeast,2.97
NorthernNewEngland,2.84
Orlando,2.89
Philadelphia,3.0
PhoenixTucson,2.23
Pittsburgh,2.71
Plains,2.77
Portland,2.52
RaleighGreensboro,2.79
RichmondNorfolk,2.45
Roanoke,2.36
Sacramento,2.8
SanDiego,2.45
SanFrancisco,3.12
Seattle,2.74
SouthCarolina,2.8
SouthCentral,2.14
Southeast,2.72
Spokane,2.7
StLouis,2.9
Syracuse,2.94
Tampa,2.61
TotalUS,2.42
West,2.38
WestTexNewMexico,2.4
