region, 2016
Albany,2.95
Atlanta,2.34
BaltimoreWashington,3.06
Boise,2.2
Boston,2.75
BuffaloRochester,2.86
California,2.56
Charlotte,2.88
Chicago,2.98
CincinnatiDayton,2.1
Columbus,2.28
DallasFtWorth,1.92
Denver,2.11
Detroit,2.26
GrandRapids,2.91
GreatLakes,2.46
HarrisburgScranton,2.91
HartfordSpringfield,3.57
Houston,1.91
Indianapolis,2.51
Jacksonville,2.63
LasVegas,2.6
LosAngeles,2.09
Louisville,2.33
MiamiFtLauderdale,2.46
Midsouth,2.6
Nashville,2.15
NewOrleansMobile,2.4
NewYork,3.39
Northeast,3.07
NorthernNewEngland,2.68
Orlando,2.64
Philadelphia,3.23
PhoenixTucson,2.42
Pittsburgh,2.59
Plains,2.65
Portland,2.29
RaleighGreensboro,2.79
RichmondNorfolk,2.33
Roanoke,2.21
Sacramento,3.21
SanDiego,2.53
SanFrancisco,3.62
Seattle,2.5
SouthCarolina,2.51
SouthCentral,1.98
Southeast,2.48
Spokane,2.57
StLouis,2.28
Syracuse,2.9
Tampa,2.44
TotalUS,2.43
West,2.27
WestTexNewMexico,2.4
